Pasta,Arquivo,Algoritmo,N_Itens,W,V,Tempo_Medio,Tempo_Std,Valor_Medio,Valor_Std,Tempos,Valores
W20_V20_variando_N,instancia_n40.txt,Backtracking,40,20,20,66.10472011566162,3.493667227296485,890,0.0,"[62.8723258972168, 61.43946933746338, 62.4348521232605, 65.1543881893158, 69.53841733932495, 70.90621948242188, 69.07568407058716, 69.53881216049194, 66.70946979522705, 63.37756276130676]","[890, 890, 890, 890, 890, 890, 890, 890, 890, 890]"
W20_V20_variando_N,instancia_n40.txt,Branch_and_Bound,40,20,20,0.0001283884048461914,2.2562245492692813e-05,890,0.0,"[0.000164031982421875, 0.00016570091247558594, 0.00011515617370605469, 0.00011157989501953125, 0.00011014938354492188, 0.0001461505889892578, 0.00011515617370605469, 0.00011038780212402344, 0.00011157989501953125, 0.00013399124145507812]","[890, 890, 890, 890, 890, 890, 890, 890, 890, 890]"
W20_V20_variando_N,instancia_n50.txt,Dinamico,50,20,20,0.016420507431030275,0.005626594691003099,674,0.0,"[0.016818523406982422, 0.028951406478881836, 0.01826024055480957, 0.01169276237487793, 0.012789726257324219, 0.012162446975708008, 0.014342308044433594, 0.012212514877319336, 0.022966623306274414, 0.014008522033691406]","[674, 674, 674, 674, 674, 674, 674, 674, 674, 674]"
W20_V20_variando_N,instancia_n50.txt,Branch_and_Bound,50,20,20,2.4199485778808594e-05,7.789353869126989e-06,671,0.0,"[4.6253204345703125e-05, 2.384185791015625e-05, 2.2172927856445312e-05, 2.1457672119140625e-05, 2.1219253540039062e-05, 2.1696090698242188e-05, 2.1457672119140625e-05, 2.1219253540039062e-05, 2.1457672119140625e-05, 2.1219253540039062e-05]","[671, 671, 671, 671, 671, 671, 671, 671, 671, 671]"
W20_V20_variando_N,instancia_n60.txt,Dinamico,60,20,20,0.01657869815826416,0.0028316361059988215,828,0.0,"[0.020372629165649414, 0.019251585006713867, 0.0163877010345459, 0.01534271240234375, 0.021692276000976562, 0.014347553253173828, 0.01513814926147461, 0.01529073715209961, 0.014578819274902344, 0.013384819030761719]","[828, 828, 828, 828, 828, 828, 828, 828, 828, 828]"
W20_V20_variando_N,instancia_n60.txt,Branch_and_Bound,60,20,20,2.7441978454589842e-05,4.943250204185053e-06,828,0.0,"[3.8623809814453125e-05, 2.574920654296875e-05, 2.4318695068359375e-05, 2.3603439331054688e-05, 3.075599670410156e-05, 2.4557113647460938e-05, 2.5033950805664062e-05, 3.24249267578125e-05, 2.574920654296875e-05, 2.3603439331054688e-05]","[828, 828, 828, 828, 828, 828, 828, 828, 828, 828]"
W20_V20_variando_N,instancia_n70.txt,Dinamico,70,20,20,0.019425320625305175,0.002587436155152171,926,0.0,"[0.022027969360351562, 0.023426532745361328, 0.017549753189086914, 0.018187999725341797, 0.01827383041381836, 0.017474651336669922, 0.023708105087280273, 0.017568111419677734, 0.017141103744506836, 0.01889514923095703]","[926, 926, 926, 926, 926, 926, 926, 926, 926, 926]"
W20_V20_variando_N,instancia_n70.txt,Branch_and_Bound,70,20,20,0.00012600421905517578,1.3236108752073805e-05,916,0.0,"[0.00016236305236816406, 0.0001239776611328125, 0.00012350082397460938, 0.00012040138244628906, 0.00012493133544921875, 0.00011873245239257812, 0.00011944770812988281, 0.00011730194091796875, 0.0001289844512939453, 0.00012040138244628906]","[916, 916, 916, 916, 916, 916, 916, 916, 916, 916]"
W20_V20_variando_N,instancia_n80.txt,Dinamico,80,20,20,0.025466442108154297,0.0069662736998117245,837,0.0,"[0.03953719139099121, 0.02844834327697754, 0.02060413360595703, 0.019766569137573242, 0.01813340187072754, 0.0184633731842041, 0.024495840072631836, 0.031968116760253906, 0.030162334442138672, 0.02308511734008789]","[837, 837, 837, 837, 837, 837, 837, 837, 837, 837]"
W20_V20_variando_N,instancia_n80.txt,Branch_and_Bound,80,20,20,0.000638580322265625,0.001457904951234117,837,0.0,"[0.00016069412231445312, 0.0001277923583984375, 0.00032973289489746094, 0.00031304359436035156, 0.004781961441040039, 0.0001399517059326172, 0.00015592575073242188, 0.00012612342834472656, 0.00012540817260742188, 0.0001251697540283203]","[837, 837, 837, 837, 837, 837, 837, 837, 837, 837]"
W20_V20_variando_N,instancia_n90.txt,Dinamico,90,20,20,0.033068156242370604,0.010093888298569626,832,0.0,"[0.05008530616760254, 0.04040813446044922, 0.03554129600524902, 0.023485660552978516, 0.045822858810424805, 0.03519296646118164, 0.022473812103271484, 0.02159857749938965, 0.025394916534423828, 0.03067803382873535]","[832, 832, 832, 832, 832, 832, 832, 832, 832, 832]"
W20_V20_variando_N,instancia_n90.txt,Branch_and_Bound,90,20,20,0.00042028427124023436,0.00012061523418556749,826,0.0,"[0.0004451274871826172, 0.0003609657287597656, 0.0004162788391113281, 0.00036144256591796875, 0.0003535747528076172, 0.0003573894500732422, 0.00035309791564941406, 0.0004038810729980469, 0.00039958953857421875, 0.000751495361328125]","[826, 826, 826, 826, 826, 826, 826, 826, 826, 826]"
